dataset,model,runtime,onnx_variant,map50,latency_ms,energy_proxy_wh_per_1000,eval_status
neu,yolo_nano,onnx,,0.6374280154324804,39.89713191986084,0.020480527718861895,ok
neu,yolo_small,onnx,,0.6801475109242804,156.2520980834961,0.07148533487319948,ok
dagm,yolo_nano,onnx,,0.8756913714390772,38.30118179321289,0.016549302299817402,ok
dagm,yolo_small,onnx,,0.8998560333793889,121.19219303131104,0.051809662520885466,ok
ksdd,yolo_nano,onnx,,0.5045379355147461,39.023399353027344,0.01725159446398417,ok
ksdd,yolo_small,onnx,,0.5794012365124153,124.72119331359863,0.05388994894425074,ok
