dataset,model_base,accuracy_base,accuracy_pruned,delta_accuracy,latency_ms_base,latency_ms_pruned,delta_latency_ms,model_size_mb_base,model_size_mb_pruned,delta_model_size_mb,energy_proxy_wh_per_1000_base,energy_proxy_wh_per_1000_pruned,delta_energy_proxy_wh_per_1000
dagm,efficientnet_b0,0.067032967032967,0.067032967032967,0.0,23.67424964904785,25.378012657165527,1.7037630081176758,15.326905250549316,15.326905250549316,0.0,0.0415779009461402,0.0468647300402323,0.005286829094092095
dagm,mobilenet_v3_large,0.0681318681318681,0.0527472527472527,-0.0153846153846154,8.791887760162354,9.292006492614746,0.5001187324523926,16.073893547058105,16.073893547058105,0.0,0.01480700430274,0.0153782707452774,0.0005712664425373999
dagm,resnet50,0.0659340659340659,0.0769230769230769,0.010989010989011005,112.90230751037598,110.72444915771484,-2.177858352661133,89.67621231079102,89.67621231079102,0.0,0.2025655567248662,0.1867552375793457,-0.0158103191455205
ksdd,efficientnet_b0,0.9484536082474226,0.8556701030927835,-0.09278350515463918,13.496816158294678,14.16301727294922,0.6662011146545428,15.28781032562256,15.28781032562256,0.0,0.0209031940251588,0.0210615869363149,0.0001583929111561022
ksdd,mobilenet_v3_large,0.8917525773195877,0.788659793814433,-0.10309278350515472,6.672942638397217,6.959056854248047,0.2861142158508301,16.034798622131348,16.034798622131348,0.0,0.0100956061333417,0.0106647546291351,0.0005691484957933996
ksdd,resnet50,0.9484536082474226,0.8556701030927835,-0.09278350515463918,65.29929637908936,74.74716901779175,9.447872638702393,89.61368179321289,89.61368179321289,0.0,0.1008602048655351,0.1102209296474854,0.009360724781950297
neu,efficientnet_b0,0.6666666666666666,0.4111111111111111,-0.25555555555555554,19.91668939590454,20.74075937271118,0.8240699768066406,15.307358741760254,15.307358741760254,0.0,0.0337089968025684,0.0393469489266475,0.005637952124079103
neu,mobilenet_v3_large,0.6777777777777778,0.2444444444444444,-0.4333333333333334,8.936381340026855,9.797477722167969,0.8610963821411133,16.054347038269043,16.054347038269043,0.0,0.0152104657391707,0.0167863451639811,0.001575879424810401
neu,resnet50,0.6666666666666666,0.2555555555555555,-0.41111111111111115,114.23168182373048,94.6780800819397,-19.553601741790786,89.64494705200195,89.64494705200195,0.0,0.1870067824522654,0.1585463349372148,-0.028460447515050613
