dataset,model,target_fps,frames,mean_latency_ms,p95_latency_ms,mean_fps,violations,mean_confidence,energy_proxy_wh_per_1000
dagm,efficientnet_b0,30.0,20,21.196675300598145,25.80733299255388,47.17720990762081,1,0.951211479306221,0.0209847085475921
dagm,efficientnet_b0_pruned,30.0,20,20.637869834899902,64.47834968566899,48.45461319408744,3,0.7502136200666427,0.0233379911382993
dagm,mobilenet_v3_large,30.0,20,17.818617820739746,52.00409889221204,56.12107572317215,2,0.927231089770794,0.0152349182367324
dagm,mobilenet_v3_large_pruned,30.0,20,15.814948081970217,44.91239786148079,63.23131728393387,2,0.5031463041901588,0.0131527651548385
dagm,resnet50,30.0,20,36.09949350357056,56.58512115478528,27.701219683347947,2,0.9299399390816688,0.0090850391983985
dagm,resnet50_pruned,30.0,20,34.84923839569092,61.53082847595224,28.69503168607694,2,0.6580118596553802,0.010861345966657
neu,efficientnet_b0,30.0,20,19.487905502319336,56.872296333313066,51.3138777217996,2,0.9547238320112228,0.0227196498314539
neu,efficientnet_b0_pruned,30.0,20,20.959925651550293,78.56267690658575,47.71009289940088,3,0.6327765733003616,0.0243135137557983
neu,mobilenet_v3_large,30.0,20,16.06316566467285,44.37505006790168,62.25422938887223,2,0.9197872593998908,0.0165182886918385
neu,mobilenet_v3_large_pruned,30.0,20,16.33293628692627,49.344944953918514,61.22597813599824,2,0.6893542096018791,0.0219541885256767
neu,resnet50,30.0,20,36.29523515701294,40.33129215240494,27.5518258987442,1,0.9649138987064362,0.0248924821118513
neu,resnet50_pruned,30.0,20,36.26750707626343,46.0043311119081,27.57289046355452,3,0.7901006698608398,0.0210049311816692
